datapath_id,dst_ip_count,src_ip_count,byte_count,packet_count,flow_count
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
2,97,6,310482,2356,17
3,59,4,227104,1737,11
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
1,66,4,180148,1378,12
3,59,4,227104,1737,11
2,97,6,310482,2356,17
